PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1624556_s_at,CG4760,bol,FBgn0011206,0006417 // regulation of translation // inferred from genetic interaction /// 0006417 // regulation of translation // inferred from electronic annotation /// 0007140 // male meiosis // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from mutant phenotype /// 0007283 // spermatogenesis // traceable author statement /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0008315 // meiotic G2/MI transition // inferred from mutant phenotype /// 0008315 // meiotic G2/MI transition // traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation /// 0045836 // positive regulation of meiosis // non-traceable author statement /// 0048137 // spermatocyte division // inferred from mutant phenotype
1624557_at,CG8648,Fen1,FBgn0025832,0006281 // DNA repair // inferred from sequence or structural similarity /// 0006281 // DNA repair // inferred from electronic annotation
1624558_at,CG32283,dro3,FBgn0052283,0006952 // defense response // non-traceable author statement /// 0006952 // defense response // inferred from electronic annotation /// 0050832 // defense response to fungus // inferred from direct assay
1624559_a_at,CG8295,Mlf,FBgn0034051,---
1624560_at,CG6822,ergic53,FBgn0035909,---
1624561_at,HDC14013,---,---,---
1624562_s_at,CG6541,Mst33A,FBgn0028412,---
1624563_at,CG5225,CG5225,FBgn0038468,---
1624564_s_at,CG1524,RpS14a,FBgn0004403,0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // inferred from electronic annotation
1624565_a_at,CG16711,CG16711,FBgn0036032,---
1624566_at,HDC01059,---,---,---
1624567_at,CG9575,Rab35,FBgn0031090,"0000910 // cytokinesis // inferred from mutant phenotype /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation"
1624568_at,CG7985,CG7985,FBgn0028499,0005975 // carbohydrate metabolic process // inferred from electronic annotation
1624569_at,CG31087,CG31087,FBgn0051087,---
1624570_a_at,CG5930,TfIIA-L,FBgn0011289,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // non-traceable author statement /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from sequence or structural similarity /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from electronic annotation"
1624571_s_at,CG32857,CG32857,FBgn0052857,0016226 // iron-sulfur cluster assembly // inferred from electronic annotation
1624572_a_at,CG40364,MED21,FBgn0040020,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred from mutant phenotype /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from sequence or structural similarity"
1624573_at,CG4998,CG4998,FBgn0036612,0006508 // proteolysis // inferred from electronic annotation
1624574_at,CG14656,CG14656,FBgn0037278,---
1624575_a_at,CG14307,fru,FBgn0004652,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007417 // central nervous system development // inferred from mutant phenotype /// 0007417 // central nervous system development // traceable author statement /// 0007517 // muscle development // inferred from mutant phenotype /// 0007530 // sex determination // inferred from mutant phenotype /// 0007530 // sex determination // traceable author statement /// 0007617 // mating behavior // inferred from mutant phenotype /// 0007618 // mating // inferred from mutant phenotype /// 0007620 // copulation // non-traceable author statement /// 0007620 // copulation // traceable author statement /// 0008049 // male courtship behavior // inferred from mutant phenotype /// 0008049 // male courtship behavior // non-traceable author statement /// 0008049 // male courtship behavior // traceable author statement /// 0016543 // male courtship behavior, orientation prior to leg tapping and wing vibration // non-traceable author statement /// 0016545 // male courtship behavior, veined wing vibration // inferred from mutant phenotype /// 0045433 // male courtship behavior, veined wing generated song production // inferred from mutant phenotype /// 0045433 // male courtship behavior, veined wing generated song production // traceable author statement /// 0046661 // male sex differentiation // traceable author statement /// 0048047 // mating behavior, sex discrimination // traceable author statement"
1624576_at,CG12994,CG12994,FBgn0040877,---
1624577_at,CG17907,Ace,FBgn0000024,0001507 // acetylcholine catabolic process in synaptic cleft // inferred from electronic annotation /// 0006581 // acetylcholine catabolic process // inferred from direct assay /// 0006581 // acetylcholine catabolic process // inferred from mutant phenotype /// 0006581 // acetylcholine catabolic process // non-traceable author statement /// 0006581 // acetylcholine catabolic process // traceable author statement /// 0007268 // synaptic transmission // inferred from mutant phenotype /// 0042135 // neurotransmitter catabolic process // inferred from electronic annotation /// 0042331 // phototaxis // inferred from mutant phenotype /// 0042426 // choline catabolic process // inferred from direct assay /// 0046681 // response to carbamate // non-traceable author statement /// 0046683 // response to organophosphorus // non-traceable author statement
1624578_at,CG9675,spheroide,FBgn0030774,0006508 // proteolysis // inferred from electronic annotation /// 0045087 // innate immune response // inferred from mutant phenotype /// 0050830 // defense response to Gram-positive bacterium // inferred from mutant phenotype /// 0050832 // defense response to fungus // inferred from mutant phenotype
1624579_at,CG13934,Cpr62Ba,FBgn0035279,---
1624580_at,CG9362,CG9362,FBgn0037696,0006559 // L-phenylalanine catabolic process // inferred from sequence or structural similarity /// 0006559 // L-phenylalanine catabolic process // inferred from electronic annotation /// 0006572 // tyrosine catabolic process // inferred from sequence or structural similarity /// 0006572 // tyrosine catabolic process // inferred from electronic annotation /// 0009072 // aromatic amino acid family metabolic process // inferred from electronic annotation
1624581_at,HDC16683,dpr7,FBgn0053481,---
1624582_a_at,CG10823,SIFR,FBgn0038880,0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from sequence or structural similarity
1624583_at,CG6115,CG6115,FBgn0040985,---
1624584_at,CG32643,CG32643,FBgn0052643,---
1624585_at,HDC09523,---,---,---
1624586_a_at,CG10078,Prat2,FBgn0041194,0006189 // 'de novo' IMP biosynthetic process // inferred from sequence or structural similarity /// 0008152 // metabolic process // inferred from electronic annotation /// 0009113 // purine base biosynthetic process // inferred from electronic annotation /// 0009116 // nucleoside metabolic process // inferred from electronic annotation
1624587_at,CG13323,CG13323,FBgn0033788,---
1624588_at,HDC09852,---,---,---
1624589_a_at,CG31811,cenG1A,FBgn0028509,0007264 // small GTPase mediated signal transduction // non-traceable author statement /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0032312 // regulation of ARF GTPase activity // inferred from electronic annotation
1624590_at,CG17134,CG17134,FBgn0032304,0006508 // proteolysis // inferred from electronic annotation
1624591_at,CG9222,CG9222,FBgn0031784,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation
1624592_at,CG5188,CG5188,FBgn0032247,0006508 // proteolysis // inferred from electronic annotation /// 0009987 // cellular process // inferred from electronic annotation
1624593_at,CG14332,CG14332,FBgn0038509,---
1624594_at,CG32484,Sk2,FBgn0052484,0006665 // sphingolipid metabolic process // inferred from direct assay /// 0007205 // activation of protein kinase C activity // inferred from electronic annotation /// 0007629 // flight behavior // inferred from mutant phenotype /// 0016310 // phosphorylation // inferred from direct assay /// 0016310 // phosphorylation // non-traceable author statement /// 0018991 // oviposition // inferred from mutant phenotype
1624595_a_at,CG4429,Rbp2,FBgn0010256,0006413 // translational initiation // inferred from sequence or structural similarity
1624596_at,CG31463,CG31463,FBgn0051463,---
1624597_at,HDC19717,---,---,---
1624598_at,CT34633,,---,---
1624599_at,CG34331,CG34331,FBgn0085360,---
1624600_at,CG14772,futsch,FBgn0259108,---
1624601_at,HDC07247,---,---,---
1624602_at,CG13235,CG13235,FBgn0040766,---
1624603_at,CG10754,CG10754,FBgn0036314,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0007052 // mitotic spindle organization // inferred from mutant phenotype"
1624604_a_at,CG5629,CG5629,FBgn0027595,---
